title,price_gbp,rating
The Death of Humanity: and the Case for Life,58.11,4
Slow States of Collapse: Poems,57.31,3
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3
The Past Never Ends,56.5,4
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1
Masks and Shadows,56.4,2
The Secret of Dreadwillow Carse,56.13,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
Birdsong: A Story in Pictures,54.64,3
Sapiens: A Brief History of Humankind,54.23,5
