title,price_gbp,rating
Patience,10.16,3
In Her Wake,12.84,1
Princess Between Worlds (Wide-Awake Princess #5),13.34,5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4
On a Midnight Clear,14.07,3
Untitled Collection: Sabbath Poems 2014,14.27,4
Obsidian (Lux #1),14.86,2
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
Sophie's World,15.94,5
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
Thirst,17.27,5
Set Me Free,17.46,5
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3
Maude (1883-1993):She Grew Up with the country,18.02,2
Unicorn Tracks,18.78,3
"Pop Gun War, Volume 1: Gift",18.97,1
The Torch Is Passed: A Harding Family Story,19.09,1
This One Summer,19.49,4
"In a Dark, Dark Wood",19.63,1
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5
Shakespeare's Sonnets,20.66,4
In the Country We Love: My Family Divided,22.0,4
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4
The Requiem Red,22.65,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
The Elephant Tree,23.82,5
Olio,23.88,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3
Chase Me (Paris Nights #2),25.27,5
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1
Reasons to Stay Alive,26.41,2
