title,price_gbp,price_inr,rating,in_stock,category_name
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2172.24,5,1,Default
Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5,1,Fantasy
Private Paris (Private #10),47.61,5022.85,5,1,Fiction
Thirst,17.27,1821.98,5,1,Fiction
"We Love You, Charlie Freeman",50.27,5303.48,5,1,Fiction
Sapiens: A Brief History of Humankind,54.23,5721.26,5,1,History
Rip it Up and Start Again,35.02,3694.61,5,1,Music
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,1,Nonfiction
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,4251.65,5,1,Nonfiction
Sophie's World,15.94,1681.67,5,1,Philosophy
